name,university,img
OMIJAL-2,Invitados,0001.jpg
OMIJAL-1,Invitados,0002.jpg
Gauss N' Roses,Universidad Autónoma de Yucatán,0003.jpg
Schrodinger's AC,Escuela Superior de Cómputo del Instituto Politécnico Nacional,0004.jpg
Ma+aleones7000,Centro Universitario de Ciencias Exactas e Ingeniería de la Universidad de Guadalajara,0005.jpg
ACE,Facultad de Ciencias Físico Matemáticas de la Universidad Autónoma de Nuevo León,0006.jpg
nu1l,Facultad de Ciencias Físico Matemáticas de la Universidad Autónoma de Nuevo León,0007.jpg
O(1),Tecnológico de Monterrey Campus Monterrey,0008.jpg
Upsolving,Universidad Panamericana Campus Bonaterra,0009.jpg
TREE(3),Universidad Autónoma de Aguascalientes,0010.jpg
Los Lobos Solitarios,Universidad Autónoma Metropolitana Azcapotzalco,0011.jpg
Leones()->Code;,Universidad Anahuac Campus Oaxaca,0012.jpg
ACMamo,Centro Universitario de Tonalá de la Universidad de Guadalajara,0013.jpg
Hololive y Software Chasers,Universidad Panamericana Campus Guadalajara,0014.jpg
Raptors,Universidad de Monterrey,0015.jpg
Equipo alfa buena maravilla onda dinamita escuadrón lobo,Universidad de Monterrey,0016.jpg
"CRIGED.PY,",Universidad Autónoma del Estado de Hidalgo,0017.jpg
Gallos,Universidad Autónoma de Aguascalientes,0018.jpg
M@C'nificas,Facultad de Estudios Superiores Acatlán de la Universidad Nacional Autónoma de México,0019.jpg
AC Forever,Escuela Superior de Cómputo del Instituto Politécnico Nacional,0020.jpg
Team-Biriche,Instituto Tecnológico Superior del Sur de Guanajuato,0021.jpg
Cagua++,Facultad de Ciencias de la Universidad Nacional Autónoma de México,0022.jpg
TLE_SQUARED,Universidad Autónoma de Ciudad Juarez,0023.jpg
team.cpp,Tecnológico de Monterrey Campus Monterrey,0024.jpg
js++,Universidad Autónoma de San Luis Potosí,0025.jpg
NoC++,Facultad de Ingeniería de la Universidad Nacional Autónoma de México,0026.jpg
!nullptr,Universidad Autónoma de San Luis Potosí,0027.jpg
Los Chicos Superpoderosos,Facultad de Ingeniería de la Universidad Nacional Autónoma de México,0028.jpg
EspantaBugs,Instituto Tecnológico de la Laguna,0029.jpg
OWO,División de Ciencias Naturales y Exactas de la Universidad de Guanajuato,0030.jpg
PumasDS,Instituto de Investigaciones en Matemáticas Aplicadas y Sistemas de la Universidad Nacional Autónoma de México,0031.jpg
Wajakos,Universidad Autónoma de Chihuahua,0032.jpg
ICPCrikos,Universidad Panamericana Campus Bonaterra,0033.jpg
Las bélicas,Centro Universitario de Ciencias Exactas e Ingeniería de la Universidad de Guadalajara,0034.jpg
DeltaWing,Centro Universitario de Ciencias Exactas e Ingeniería de la Universidad de Guadalajara,0035.jpg
#include <uaz>,Universidad Autónoma de Zacatecas,0036.jpg
Javamonos,Instituto Tecnológico Superior del Sur de Guanajuato,0037.jpg
F TLE,Tecnológico de Monterrey Campus Estado de México,0038.jpg
Crustáceos Cascarudos,Escuela Superior de Cómputo del Instituto Politécnico Nacional,0039.jpg
Almost Retired,Centro Universitario de Ciencias Exactas e Ingeniería de la Universidad de Guadalajara,0040.jpg
To ICPC and beyond,Escuela Superior de Cómputo del Instituto Politécnico Nacional,0041.jpg
Ludus G++,Instituto Tecnológico de Culiacán,0042.jpg
Ice and Fire,Universidad Autónoma de Zacatecas,0043.jpg
Tsurus Tuneados,Tecnológico de Monterrey Campus Guadalajara,0044.jpg
Hugs for Bugs,Instituto Tecnológico Superior del Sur de Guanajuato,0045.jpg
Los mismisimos carajillos,Centro Universitario de Ciencias Exactas e Ingeniería de la Universidad de Guadalajara,0046.jpg
Exceso de Fé,Escuela Superior de Cómputo del Instituto Politécnico Nacional,0047.jpg
Chicos_percebe,Universidad Panamericana Campus Bonaterra,0048.jpg
0xBests,Instituto Tecnológico de Nuevo León,0049.jpg
Red Squadron, ITESO, 0050.jpg
Los colados, ITESO, 0051.jpg
Hijos de Piza 5, ITESO, 0052.jpg
Equipo, Invitados, 0053.jpg
Campeones OMI 2022, Invitados, 0054.jpg